x	y	label	showSelected
0.5	0.5	ANKRD12	ANKRD12
0.5	0.5	ANKRD13A	ANKRD13A
0.5	0.5	ANKRD13B	ANKRD13B
0.5	0.5	ANKRD13C	ANKRD13C
0.5	0.5	ANKRD13D	ANKRD13D
0.5	0.5	ANKRD16	ANKRD16
0.5	0.5	ANKRD17	ANKRD17
0.5	0.5	ANKRD19	ANKRD19
0.5	0.5	ANKRD23	ANKRD23
0.5	0.5	ANKRD26	ANKRD26
0.5	0.5	ANKRD27	ANKRD27
0.5	0.5	ANKRD28	ANKRD28
0.5	0.5	ANKRD32	ANKRD32
0.5	0.5	ANKRD34A	ANKRD34A
0.5	0.5	ANKRD36	ANKRD36
0.5	0.5	ANKRD36B	ANKRD36B
0.5	0.5	ANKRD36BP1	ANKRD36BP1
0.5	0.5	ANKRD39	ANKRD39
0.5	0.5	ANKRD40	ANKRD40
0.5	0.5	ANKRD42	ANKRD42
0.5	0.5	ANKRD44	ANKRD44
0.5	0.5	ANKRD46	ANKRD46
0.5	0.5	ANKRD49	ANKRD49
0.5	0.5	ANKRD50	ANKRD50
0.5	0.5	ANKRD52	ANKRD52
0.5	0.5	ANKRD54	ANKRD54
0.5	0.5	ANKRD58	ANKRD58
0.5	0.5	ANKRD6	ANKRD6
0.5	0.5	ANKRD9	ANKRD9
0.5	0.5	ANKS1A	ANKS1A
0.5	0.5	ANKS3	ANKS3
0.5	0.5	ANKS6	ANKS6
0.5	0.5	ANKZF1	ANKZF1
0.5	0.5	ANLN	ANLN
0.5	0.5	ANO10	ANO10
0.5	0.5	ANO6	ANO6
0.5	0.5	ANO7	ANO7
0.5	0.5	ANO8	ANO8
0.5	0.5	ANO9	ANO9
0.5	0.5	ANP32A	ANP32A
0.5	0.5	ANP32B	ANP32B
0.5	0.5	ANP32E	ANP32E
0.5	0.5	ANPEP	ANPEP
0.5	0.5	ANTXR2	ANTXR2
0.5	0.5	ANUBL1	ANUBL1
0.5	0.5	ANXA1	ANXA1
0.5	0.5	ANXA11	ANXA11
0.5	0.5	ANXA2	ANXA2
0.5	0.5	ANXA2P2	ANXA2P2
0.5	0.5	ANXA4	ANXA4
0.5	0.5	ANXA5	ANXA5
0.5	0.5	ANXA6	ANXA6
0.5	0.5	ANXA7	ANXA7
0.5	0.5	ANXA9	ANXA9
0.5	0.5	AOAH	AOAH
0.5	0.5	AOC2	AOC2
0.5	0.5	AP1AR	AP1AR
0.5	0.5	AP1B1	AP1B1
0.5	0.5	AP1G1	AP1G1
0.5	0.5	AP1G2	AP1G2
0.5	0.5	AP1M1	AP1M1
0.5	0.5	AP1S1	AP1S1
0.5	0.5	AP1S2	AP1S2
0.5	0.5	AP1S3	AP1S3
0.5	0.5	AP2A1	AP2A1
0.5	0.5	AP2A2	AP2A2
0.5	0.5	AP2B1	AP2B1
0.5	0.5	AP2M1	AP2M1
0.5	0.5	AP2S1	AP2S1
0.5	0.5	AP3B1	AP3B1
0.5	0.5	AP3D1	AP3D1
0.5	0.5	AP3M1	AP3M1
0.5	0.5	AP3M2	AP3M2
0.5	0.5	AP3S1	AP3S1
0.5	0.5	AP3S2	AP3S2
0.5	0.5	AP4B1	AP4B1
0.5	0.5	AP4E1	AP4E1
0.5	0.5	AP4M1	AP4M1
0.5	0.5	AP4S1	AP4S1
0.5	0.5	APAF1	APAF1
0.5	0.5	APBA2	APBA2
0.5	0.5	APBA3	APBA3
0.5	0.5	APBB1	APBB1
0.5	0.5	APBB1IP	APBB1IP
0.5	0.5	APBB3	APBB3
0.5	0.5	APC	APC
0.5	0.5	APC2	APC2
0.5	0.5	APEH	APEH
0.5	0.5	APEX1	APEX1
0.5	0.5	APEX2	APEX2
0.5	0.5	APH1A	APH1A
0.5	0.5	APH1B	APH1B
0.5	0.5	API5	API5
0.5	0.5	APIP	APIP
0.5	0.5	APITD1	APITD1
0.5	0.5	APLF	APLF
0.5	0.5	APLP2	APLP2
0.5	0.5	APOA1BP	APOA1BP
0.5	0.5	APOB48R	APOB48R
0.5	0.5	APOBEC2	APOBEC2
0.5	0.5	APOBEC3B	APOBEC3B
0.5	0.5	APOBEC3C	APOBEC3C
0.5	0.5	APOBEC3D	APOBEC3D
0.5	0.5	APOBEC3F	APOBEC3F
0.5	0.5	APOBEC3G	APOBEC3G
0.5	0.5	APOL1	APOL1
0.5	0.5	APOL2	APOL2
0.5	0.5	APOL3	APOL3
0.5	0.5	APOL4	APOL4
